cliente_id,marca_id,año,mes,cluster_id,precio_total,cantidad,fecha_mes,marca_id_encoded
1193,40001145,2024,2,3,12.43,2.0,2024-02-01,74
1193,40001145,2024,3,3,89.892,20.0,2024-03-01,74
1193,40001145,2024,4,3,62.895999999999994,11.0,2024-04-01,74
1193,40001145,2024,5,3,6.955,1.0,2024-05-01,74
1193,40001145,2024,6,3,43.9575,7.0,2024-06-01,74
1193,40001145,2024,8,3,104.764,32.0,2024-08-01,74
1193,40007045,2024,2,3,16.675,1.0,2024-02-01,78
1193,40007045,2024,4,3,54.775000000000006,5.0,2024-04-01,78
1193,40007045,2024,7,3,255.65000000000003,17.0,2024-07-01,78
1193,40007067,2024,1,3,14.22,1.0,2024-01-01,80
1193,40007089,2024,4,3,0.5775,1.0,2024-04-01,84
1193,40007103,2024,2,3,31.214100000000002,2.0,2024-02-01,85
1193,40007103,2024,4,3,44.8299,2.0,2024-04-01,85
1193,40007103,2024,5,3,25.06022,2.0,2024-05-01,85
1193,40007103,2024,6,3,26.42344,3.0,2024-06-01,85
1193,40007103,2024,7,3,130.97325,5.0,2024-07-01,85
1193,40007152,2024,7,3,3.618,1.0,2024-07-01,93
1193,40007184,2024,6,3,21.462,1.0,2024-06-01,98
1193,40007232,2024,1,3,483.0,1.0,2024-01-01,103
1193,40007378,2024,2,3,18.0,2.0,2024-02-01,122
1193,40007451,2024,1,3,5.9,1.0,2024-01-01,225
1193,40007451,2024,3,3,1.176,4.0,2024-03-01,138
1193,40007451,2024,4,3,18.258,5.0,2024-04-01,138
1193,40007494,2024,4,3,2.975,2.0,2024-04-01,146
1193,40007522,2024,3,3,2.61975,1.0,2024-03-01,150
1193,40007531,2024,2,3,39.792,1.0,2024-02-01,277
1193,40007531,2024,7,3,0.255,1.0,2024-07-01,152
1193,40007533,2024,1,3,2.122,6.0,2024-01-01,153
